QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,DEALSIZE,TERRITORY,SALES
45,100,5,3,2,5,2005,1,118,2,2,5887.35
27,100,4,1,1,2,2003,1,193,2,1,6065.55
46,100,2,1,2,4,2003,1,193,3,3,9264.86
31,100,4,1,3,7,2003,1,193,3,2,7023.98
33,100,8,1,3,8,2003,1,193,2,1,5176.38
22,100,16,1,4,10,2003,1,193,2,1,4132.7
20,100,3,1,4,10,2003,1,193,2,1,4183
41,100,11,1,4,11,2003,1,193,3,2,8892.9
45,100,3,1,4,11,2003,1,193,3,2,8714.7
49,100,4,1,4,12,2003,1,193,3,1,8065.89
34,100,1,1,1,1,2004,1,193,2,4,6123.4
49,100,3,1,1,2,2004,1,193,3,3,9774.03
39,100,9,1,2,4,2004,1,193,3,1,7023.9
43,100,4,1,2,5,2004,1,193,3,1,7078.23
41,100,4,1,2,6,2004,1,193,3,1,8336.94
36,100,3,1,3,7,2004,1,193,2,2,6901.92
27,100,8,1,3,8,2004,1,193,2,1,5438.07
29,100,11,1,3,9,2004,1,193,2,2,6683.34
20,100,1,1,4,10,2004,1,193,2,1,4570.4
37,100,3,1,4,11,2004,1,193,3,1,7667.14
26,100,3,1,4,11,2004,1,193,2,1,5868.2
39,76.67,3,1,4,11,2004,1,193,1,4,2990.13
22,100,4,1,1,1,2005,1,193,2,1,3664.1
22,100,1,1,1,2,2005,1,193,2,3,3834.38
21,86.77,7,1,1,3,2005,1,193,1,1,1822.17
66,100,9,1,2,4,2005,1,193,3,2,11886.6
56,100,4,3,2,5,2005,1,193,3,2,9218.16
50,100,2,1,1,2,2003,2,136,3,2,7208
46,100,11,1,2,4,2003,2,136,2,2,5004.8
33,100,2,1,2,6,2003,2,136,2,2,4398.24
49,100,15,1,3,8,2003,2,136,2,1,5597.76
32,100,13,1,4,10,2003,2,136,2,2,4526.08
44,100,9,4,4,10,2003,2,136,2,2,5924.16
24,100,12,1,4,11,2003,2,136,2,2,3492.48
26,100,9,1,4,11,2003,2,136,2,2,3854.24
45,100,6,1,4,11,2003,2,136,2,2,5324.4
39,100,8,1,1,1,2004,2,136,2,1,5197.92
49,100,12,1,1,2,2004,2,136,2,1,5997.6
20,100,3,4,2,5,2004,2,136,1,1,2910.4
27,100,1,1,2,6,2004,2,136,2,1,3378.24
30,100,4,1,3,7,2004,2,136,2,2,3508.8
25,100,6,1,3,8,2004,2,136,1,1,2992
24,100,1,1,3,9,2004,2,136,2,1,3427.2
22,100,9,1,4,10,2004,2,136,1,1,2692.8
33,100,17,1,4,11,2004,2,136,2,2,4128.96
47,64.93,6,1,4,11,2004,2,136,2,2,3051.71
25,48.05,8,1,4,11,2004,2,136,1,1,1201.25
26,75.47,5,1,4,12,2004,2,136,1,2,1962.22
48,54.68,6,1,4,12,2004,2,136,1,2,2624.64
39,100,3,1,1,1,2005,2,136,2,2,4046.25
34,100,4,1,1,2,2005,2,136,2,1,4846.7
32,100,2,1,1,3,2005,2,136,2,2,3370.56
64,100,9,1,2,4,2005,2,136,3,1,9661.44
19,100,3,6,2,5,2005,2,136,1,1,2764.88
42,100,4,1,1,1,2003,2,147,2,2,5398.26
31,100,8,1,2,4,2003,2,147,2,2,4305.28
22,100,4,1,2,5,2003,2,147,2,2,3347.74
26,100,4,1,3,7,2003,2,147,2,1,3188.12
20,100,1,1,3,9,2003,2,147,2,4,3191.2
21,100,2,5,4,10,2003,2,147,2,2,3536.82
33,100,9,1,4,11,2003,2,147,2,2,5362.83
28,100,1,1,4,11,2003,2,147,2,1,3433.36
26,100,4,1,4,11,2003,2,147,2,2,4263.74
31,100,15,1,4,12,2003,2,147,2,1,4076.19
48,100,4,1,1,2,2004,2,147,3,3,7020.48
50,100,9,1,1,3,2004,2,147,2,1,6426.5
28,100,2,1,2,5,2004,2,147,2,1,4591.72
26,100,12,1,2,6,2004,2,147,2,3,4033.38
32,100,2,1,3,7,2004,2,147,2,3,4302.08
44,100,9,1,3,8,2004,2,147,3,1,7020.64
30,100,4,1,3,9,2004,2,147,2,2,3855.9
38,100,13,1,4,10,2004,2,147,2,1,6680.78
40,100,7,1,4,10,2004,2,147,2,1,6678
46,61.99,8,1,4,11,2004,2,147,1,1,2851.54
26,100,2,6,4,11,2004,2,147,2,2,3188.12
27,100,2,1,4,11,2004,2,147,2,3,4428
43,100,9,1,4,12,2004,2,147,2,1,5780.92
35,65.63,4,1,1,1,2005,2,147,1,3,2297.05
37,100,6,1,1,2,2005,2,147,2,1,6231.54
37,46.9,7,1,1,3,2005,2,147,1,3,1735.3
27,100,2,1,2,5,2005,2,147,2,1,4427.73
38,100,12,2,2,5,2005,2,147,2,2,5894.94
33,100,6,1,1,3,2003,2,194,2,4,5265.15
42,100,10,1,2,5,2003,2,194,3,2,7599.9
42,100,7,1,3,7,2003,2,194,3,1,8008.56
48,100,7,1,3,9,2003,2,194,3,1,9245.76
41,100,2,1,4,10,2003,2,194,3,1,8296.35
30,100,2,1,4,11,2003,2,194,2,3,5019.9
27,100,14,1,4,11,2003,2,194,2,2,5411.07
21,100,3,1,4,11,2003,2,194,2,2,3840.9
20,100,8,1,4,12,2003,2,194,2,2,3930.4
41,100,2,1,1,1,2004,2,194,3,2,7498.9
27,100,9,1,1,2,2004,2,194,2,2,4517.91
28,100,3,1,2,4,2004,2,194,2,2,5774.72
24,100,13,4,2,6,2004,2,194,2,2,3922.56
44,100,14,1,3,7,2004,2,194,3,2,9160.36
50,100,3,1,3,8,2004,2,194,3,1,9631
21,100,12,1,3,8,2004,2,194,2,2,3432.24
33,100,5,1,4,10,2003,2,194,2,2,5521.89
33,100,10,1,4,10,2004,2,194,2,2,6934.62
31,100,3,1,4,11,2004,2,194,2,2,6876.11
41,71.47,5,1,4,11,2004,2,194,1,1,2930.27
45,79.65,2,1,4,11,2004,2,194,2,2,3584.25
33,85.39,3,1,1,1,2005,2,194,1,2,2817.87
45,76,7,1,1,2,2005,2,194,2,2,3420
26,99.04,4,1,1,3,2005,2,194,1,2,2575.04
12,100,13,1,2,5,2005,2,194,1,2,1961.28
41,100,15,1,1,2,2003,2,207,3,2,8690.36
33,100,9,1,2,4,2003,2,207,2,4,6034.38
46,100,2,1,2,6,2003,2,207,3,1,11279.2
33,100,12,1,3,8,2003,2,207,3,1,8023.29
20,100,11,1,3,9,2003,2,207,2,2,4904
44,100,3,1,4,10,2003,2,207,3,4,8594.52
33,100,2,1,4,11,2003,2,207,3,2,7474.5
21,100,13,1,4,11,2003,2,207,2,1,3883.74
47,100,5,1,4,11,2003,2,207,3,1,8887.7
46,100,13,1,1,1,2004,2,207,3,2,8602.92
32,100,2,1,1,2,2004,2,207,3,2,7181.44
42,100,2,1,1,3,2004,2,207,3,2,8378.58
44,100,2,1,2,5,2004,2,207,3,2,10606.2
35,100,2,1,3,7,2004,2,207,2,1,5818.4
41,100,5,1,3,8,2004,2,207,3,1,7071.27
46,100,8,1,3,9,2004,2,207,3,2,8411.56
31,100,13,1,4,10,2004,2,207,2,2,6570.76
38,100,5,1,4,10,2004,2,207,3,2,7975.44
42,64,8,1,4,11,2004,2,207,1,2,2688
33,57.22,10,1,4,11,2004,2,207,1,2,1888.26
48,52.36,8,1,4,11,2004,2,207,1,2,2513.28
42,100,8,1,4,12,2004,2,207,2,2,4764.48
32,100,6,1,1,1,2005,2,207,2,1,3560.64
34,100,10,1,1,2,2005,2,207,2,1,3823.64
33,69.12,1,1,1,3,2005,2,207,1,2,2280.96
36,100,2,1,2,5,2005,2,207,3,1,8677.8
27,100,8,1,1,1,2003,6,136,2,2,3394.98
21,100,2,1,1,3,2003,6,136,2,1,3415.44
21,100,8,1,2,5,2003,6,136,1,2,2439.57
38,100,8,1,3,7,2003,6,136,2,1,4829.8
30,100,5,1,3,9,2003,6,136,2,4,4100.1
49,100,6,5,4,10,2003,6,136,2,2,6563.06
43,100,1,1,4,11,2003,6,136,2,3,6817.22
41,100,5,1,4,11,2003,6,136,2,1,6163.94
38,100,8,1,4,11,2003,6,136,2,2,4933.92
28,100,3,1,4,12,2003,6,136,2,1,4056.36
43,100,1,1,1,2,2004,6,136,2,2,5759.42
25,100,13,1,1,3,2004,6,136,2,1,3451
38,100,6,1,2,5,2004,6,136,2,1,5920.4
41,100,3,1,2,6,2004,6,136,2,4,6668.24
28,100,6,1,3,7,2004,6,136,2,3,4094.72
25,100,13,1,3,8,2004,6,136,1,1,2938.5
41,100,8,1,3,9,2004,6,136,2,2,6387.8
39,100,3,1,4,10,2004,6,136,2,2,6396
21,100,11,1,4,10,2004,6,136,1,1,2669.1
27,100,9,1,4,11,2004,6,136,2,1,4784.13
33,99.21,6,1,4,11,2004,6,136,2,1,3273.93
29,100,3,1,4,11,2004,6,136,2,3,3586.43
49,100,8,1,4,12,2004,6,136,2,1,5960.36
49,100,8,1,1,1,2005,6,136,3,3,8470.14
20,100,1,1,1,2,2005,6,136,1,1,2952
39,63.2,9,1,1,3,2005,6,136,1,3,2464.8
40,100,6,1,2,5,2005,6,136,2,1,6232
49,100,3,2,2,5,2005,6,136,3,2,7969.36
21,100,1,1,1,2,2003,1,150,2,1,3036.6
50,100,4,1,2,5,2003,1,150,3,2,8284
20,100,1,1,3,7,2003,1,150,1,2,2711.2
49,100,5,1,3,8,2003,1,150,3,1,8339.8
38,100,13,1,4,10,2003,1,150,2,1,6238.84
35,100,13,1,4,11,2003,1,150,2,3,4639.25
40,100,8,1,4,11,2003,1,150,2,2,6747.6
28,100,1,1,4,11,2003,1,150,2,1,4512.48
25,100,1,1,4,12,2003,1,150,2,1,4029
36,100,13,1,1,1,2004,1,150,2,2,4771.8
43,100,6,1,1,2,2004,1,150,2,2,6087.94
32,100,6,1,2,4,2004,1,150,2,1,4193.28
46,100,1,1,2,5,2004,1,150,3,1,7552.28
48,100,1,1,2,6,2004,1,150,2,1,6434.4
43,100,14,1,3,8,2004,1,150,2,1,5181.5
49,100,5,1,3,8,2004,1,150,2,1,6863.92
24,100,8,1,3,9,2004,1,150,2,2,4157.04
26,100,4,1,4,10,2004,1,150,2,2,4660.24
30,100,9,1,4,11,2004,1,150,2,1,4111.8
24,100,6,1,4,11,2004,1,150,2,1,3542.64
55,100,8,1,4,11,2004,1,150,3,2,8118.55
22,100,1,1,1,1,2005,1,150,2,1,3877.06
49,78.92,13,1,1,2,2005,1,150,2,2,3867.08
44,100,6,1,1,3,2005,1,150,2,1,5951.44
66,100,6,1,2,4,2005,1,150,3,2,8648.64
21,100,1,3,2,5,2005,1,150,2,2,3447.78
34,100,1,1,1,1,2003,2,151,2,2,5958.5
43,100,10,1,2,4,2003,2,151,2,4,5911.64
46,100,3,1,2,6,2003,2,151,3,1,7366.44
33,100,13,1,3,8,2003,2,151,2,1,4985.64
42,100,12,1,3,9,2003,2,151,2,2,5393.64
34,100,4,1,4,10,2003,2,151,2,4,4880.02
47,100,3,1,4,11,2003,2,151,3,2,8378.69
33,100,14,1,4,11,2003,2,151,2,1,4038.21
24,100,6,1,4,11,2003,2,151,2,1,3807.12
26,100,14,1,1,1,2004,2,151,2,2,3142.36
30,100,3,1,1,2,2004,2,151,2,2,4713.6
43,100,1,1,1,3,2004,2,151,3,2,7016.31
25,100,3,1,2,5,2004,2,151,2,2,4381.25
27,100,3,1,3,7,2004,2,151,2,1,4283.01
27,100,6,1,3,8,2004,2,151,2,1,4364.82
24,100,9,1,3,9,2004,2,151,2,2,4242.24
34,100,14,1,4,10,2004,2,151,2,2,4982.7
46,100,6,1,4,10,2004,2,151,2,2,6393.54
27,54.33,1,1,4,11,2004,2,151,1,1,1466.91
33,100,11,1,4,11,2004,2,151,2,2,4059.33
47,100,4,1,4,11,2004,2,151,2,2,4801.52
49,55.34,5,1,4,12,2004,2,151,1,2,2711.66
40,100,4,1,1,1,2005,2,151,2,4,5862
37,100,11,1,1,2,2005,2,151,2,1,4071.85
47,100,3,1,2,5,2005,2,151,3,1,8236.75
45,100,4,1,1,3,2003,2,117,2,4,6130.35
37,99.82,8,1,2,5,2003,2,117,2,2,3693.34
48,100,5,1,3,7,2003,2,117,2,1,6031.68
31,100,5,1,3,9,2003,2,117,2,1,3494.94
46,100,6,1,4,10,2003,2,117,2,1,5294.14
47,100,4,1,4,11,2003,2,117,2,2,5464.69
28,100,12,1,4,11,2003,2,117,1,2,2860.76
40,100,1,1,4,11,2003,2,117,2,2,5590
20,100,6,1,4,12,2003,2,117,1,2,2254.8
39,100,16,1,1,1,2004,2,117,2,2,4946.76
25,99.82,7,1,1,2,2004,2,117,1,2,2495.5
29,100,1,1,2,4,2004,2,117,2,2,3167.38
22,100,11,4,2,6,2004,2,117,1,2,2402.84
22,100,12,1,3,7,2004,2,117,1,2,2454.54
47,100,1,1,3,8,2004,2,117,2,1,5464.69
45,100,10,1,3,8,2004,2,117,2,2,4756.5
29,100,3,1,4,10,2003,2,117,2,2,3984.6
24,100,8,1,4,10,2004,2,117,2,2,3100.32
35,100,1,1,4,11,2004,2,117,2,2,4850.3
46,83.63,13,1,4,11,2004,2,117,2,1,3846.98
44,95.93,1,1,4,11,2004,2,117,2,2,4220.92
34,96.73,4,1,1,1,2005,2,117,2,2,3288.82
35,100,1,1,1,2,2005,2,117,2,1,3987.2
25,72.38,6,1,1,3,2005,2,117,1,2,1809.5
10,100,11,1,2,5,2005,2,117,1,2,1092.2
29,100,14,1,1,2,2003,2,173,2,2,4566.05
39,100,8,1,2,4,2003,2,173,2,4,5938.14
42,100,1,1,2,6,2003,2,173,3,1,8138.76
46,100,11,1,3,8,2003,2,173,3,1,9470.94
49,100,10,1,3,9,2003,2,173,3,2,7036.89
27,100,2,1,4,10,2003,2,173,2,4,5559.03
50,100,1,1,4,11,2003,2,173,3,2,7872.5
43,100,12,1,4,11,2003,2,173,3,1,7886.2
38,100,4,1,4,11,2003,2,173,3,1,7232.16
20,100,12,1,1,1,2004,2,173,2,2,3114.4
27,100,1,1,1,2,2004,2,173,2,2,5045.22
49,100,1,1,1,3,2004,2,173,2,2,6952.12
27,100,1,1,2,5,2004,2,173,2,2,4157.73
39,100,1,1,3,7,2004,2,173,3,1,7962.24
24,100,4,1,3,8,2004,2,173,2,1,3778.8
45,100,7,1,3,9,2004,2,173,3,2,8253
20,100,12,1,4,10,2004,2,173,2,2,3633.4
36,100,4,1,4,10,2004,2,173,2,2,6913.8
24,100,1,1,4,11,2004,2,173,1,2,2583.6
49,63.38,1,1,4,11,2004,2,173,2,2,3105.62
26,100,10,1,4,12,2004,2,173,2,1,4408.56
49,62.09,5,1,4,12,2004,2,173,2,2,3042.41
34,100,1,1,1,1,2005,2,173,2,4,5941.5
34,95.35,12,1,1,2,2005,2,173,2,1,3241.9
33,100,3,1,1,3,2005,2,173,2,1,6109.29
22,100,1,1,2,5,2005,2,173,2,1,3387.78
39,89.38,7,1,1,3,2003,2,79,2,4,3485.82
32,63.84,11,1,2,5,2003,2,79,1,2,2042.88
24,75.01,8,1,3,7,2003,2,79,1,1,1800.24
21,63.84,8,1,3,9,2003,2,79,1,1,1340.64
24,73.42,3,1,4,10,2003,2,79,1,1,1762.08
36,63.84,3,1,4,11,2003,2,79,1,3,2298.24
20,81.4,15,1,4,11,2003,2,79,1,2,1628
30,64.64,4,1,4,11,2003,2,79,1,2,1939.2
44,82.99,9,1,4,12,2003,2,79,2,2,3651.56
28,92.57,3,1,1,1,2004,2,79,1,2,2591.96
37,77.41,10,1,1,2,2004,2,79,1,2,2864.17
20,74.21,4,1,2,4,2004,2,79,1,2,1484.2
25,90.17,14,4,2,6,2004,2,79,1,2,2254.25
35,76.61,15,1,3,7,2004,2,79,1,2,2681.35
38,83.79,4,1,3,8,2004,2,79,2,1,3184.02
41,69.43,13,1,3,8,2004,2,79,1,2,2846.63
22,76.61,6,1,4,10,2003,2,79,1,2,1685.42
49,81.4,11,1,4,10,2004,2,79,2,2,3988.6
38,73.42,4,1,4,11,2004,2,79,1,2,2789.96
33,100,14,1,4,11,2004,2,79,2,1,3607.56
36,93.56,10,1,4,11,2004,2,79,2,2,3368.16
34,81.62,5,1,1,1,2005,2,79,1,2,2775.08
24,67.83,5,1,1,2,2005,2,79,1,2,1627.92
36,70.26,7,1,1,3,2005,2,79,1,2,2529.36
34,90.17,14,1,2,5,2005,2,79,2,2,3065.78
41,100,9,1,1,1,2003,6,118,2,2,4615.78
46,100,5,1,2,4,2003,6,118,2,1,5723.78
24,100,11,1,2,6,2003,6,118,1,1,2559.6
21,100,5,1,3,8,2003,6,118,1,2,2140.11
24,100,3,1,3,9,2003,6,118,2,2,3327.6
48,100,12,1,4,10,2003,6,118,2,4,6825.6
26,100,1,1,4,11,2003,6,118,2,2,3543.28
37,100,6,1,4,11,2003,6,118,2,2,4516.22
49,100,6,1,4,11,2003,6,118,2,1,6445.46
34,99.54,7,1,4,12,2003,6,118,2,1,3384.36
48,100,2,1,1,2,2004,6,118,2,1,4891.68
36,100,1,1,1,3,2004,6,118,2,1,4521.96
46,100,5,1,2,5,2004,6,118,2,2,5069.66
46,100,4,1,2,6,2004,6,118,2,3,6541.2
31,97.17,5,1,3,7,2004,6,118,2,1,3012.27
41,100,1,1,3,8,2004,6,118,2,1,5247.18
21,100,8,1,3,9,2004,6,118,1,1,2214.87
38,100,5,1,4,10,2004,6,118,2,1,4773.18
45,100,14,1,4,10,2004,6,118,2,2,6185.7
26,58.38,7,1,4,11,2004,6,118,1,1,1517.88
38,100,3,1,4,11,2004,6,118,2,2,6372.6
48,100,9,1,4,12,2004,6,118,2,1,5232.96
42,64.16,9,1,4,12,2004,6,118,1,2,2694.72
49,35.71,4,1,1,1,2005,6,118,1,1,1749.79
32,66.58,13,1,1,2,2005,6,118,1,1,2130.56
54,100,5,1,2,5,2005,6,118,2,2,5951.34
33,100,4,2,2,5,2005,6,118,2,2,4692.6
36,100,3,1,1,3,2003,2,115,2,4,3731.04
20,100,7,1,2,5,2003,2,115,1,2,2142
29,97.89,4,1,3,7,2003,2,115,1,1,2838.81
33,97.89,4,1,3,9,2003,2,115,2,1,3230.37
50,100,5,1,4,10,2003,2,115,2,1,5182
41,100,3,1,4,11,2003,2,115,2,2,4391.1
36,100,11,1,4,11,2003,2,115,2,2,4477.32
27,100,16,1,4,11,2003,2,115,2,1,3544.56
47,100,5,1,4,12,2003,2,115,2,2,5195.85
33,100,15,1,1,1,2004,2,115,2,2,4180.44
21,100,6,1,1,2,2004,2,115,1,2,2684.43
21,93.28,5,1,2,4,2004,2,115,1,2,1958.88
41,100,10,4,2,6,2004,2,115,2,2,4910.57
40,100,11,1,3,7,2004,2,115,2,2,4468.4
28,100,1,1,3,8,2004,2,115,2,4,3127.88
23,100,9,1,3,8,2004,2,115,1,2,2675.13
23,100,2,1,4,10,2003,2,115,1,2,2807.61
25,100,7,1,4,10,2004,2,115,1,2,2504.75
24,100,15,1,4,11,2004,2,115,1,1,2984.88
39,64.74,15,1,4,11,2004,2,115,1,1,2524.86
55,75.2,7,1,4,11,2004,2,115,2,2,4136
46,88.45,6,1,1,1,2005,2,115,2,2,4068.7
50,100,1,1,1,2,2005,2,115,2,2,5182
47,100,8,1,1,3,2005,2,115,2,2,5243.79
97,93.28,5,1,2,4,2005,2,115,3,2,9048.16
32,100,10,1,2,5,2005,2,115,2,2,3832.64
35,100,10,1,1,1,2003,6,116,2,2,3920
49,100,4,1,1,3,2003,6,116,2,1,4916.66
38,100,10,1,2,5,2003,6,116,2,2,3857
32,100,10,1,3,7,2003,6,116,2,1,4181.44
34,100,7,1,3,9,2003,6,116,2,4,4641
36,99.17,8,5,4,10,2003,6,116,2,2,3570.12
48,93.34,3,1,4,11,2003,6,116,2,3,4480.32
21,96.84,7,1,4,11,2003,6,116,1,1,2033.64
21,93.34,10,1,4,11,2003,6,116,1,2,1960.14
34,100,5,1,4,12,2003,6,116,2,1,3966.78
46,100,2,1,1,1,2004,6,116,2,1,5152
32,100,1,1,1,3,2004,6,116,2,1,3360
29,100,8,1,2,5,2004,6,116,2,1,3451
41,100,5,1,2,6,2004,6,116,2,4,5453
43,96.84,8,1,3,7,2004,6,116,2,3,4164.12
24,100,1,1,3,8,2004,6,116,1,2,2800.08
41,100,10,1,3,9,2004,6,116,2,2,4687.94
46,98,5,1,4,10,2004,6,116,2,2,4508
32,100,2,1,4,10,2004,6,116,2,1,4181.44
22,100,10,1,4,11,2004,6,116,1,1,2251.04
29,40.25,7,1,4,11,2004,6,116,1,1,1167.25
42,49.6,5,1,4,11,2004,6,116,1,3,2083.2
39,98,1,1,4,12,2004,6,116,2,1,3822
27,100,1,1,1,1,2005,6,116,2,3,3911.49
48,98,2,1,1,2,2005,6,116,2,1,4704
29,85.1,10,1,1,3,2005,6,116,1,3,2467.9
27,100,8,1,2,5,2005,6,116,2,1,3213
54,100,5,2,2,5,2005,6,116,3,2,7182
26,100,4,1,1,3,2003,2,141,2,1,4379.18
34,100,2,1,2,5,2003,2,141,2,2,5004.8
25,100,2,1,3,7,2003,2,141,2,2,3644.75
23,100,13,1,3,9,2003,2,141,1,3,2702.04
28,100,12,1,4,10,2003,2,141,2,2,3764.88
35,100,2,1,4,11,2003,2,141,2,1,4508
44,100,6,1,4,11,2003,2,141,2,2,5418.16
22,100,11,1,4,11,2003,2,141,2,1,3300.66
42,100,17,1,4,12,2003,2,141,2,1,6182.4
29,100,10,1,1,1,2004,2,141,2,2,4186.73
32,100,1,1,1,2,2004,2,141,2,2,4529.28
41,100,3,1,2,4,2004,2,141,2,4,5628.89
26,100,5,4,2,6,2004,2,141,2,2,3054.48
21,100,6,1,3,7,2004,2,141,1,2,2526.51
34,100,6,1,3,8,2004,2,141,2,1,4667.86
41,100,4,1,3,8,2004,2,141,2,2,6499.32
37,100,8,1,4,10,2003,2,141,2,2,5917.78
37,100,2,1,4,10,2004,2,141,2,2,6231.91
41,100,10,1,4,11,2004,2,141,2,1,5803.14
46,100,6,1,4,11,2004,2,141,2,1,6434.02
40,100,2,1,4,11,2004,2,141,2,3,6454.4
43,97.6,8,1,4,12,2004,2,141,2,2,4196.8
30,87.06,1,1,1,1,2005,2,141,1,1,2611.8
35,100,2,1,1,2,2005,2,141,2,2,5895.05
36,93.77,14,1,1,3,2005,2,141,2,1,3375.72
61,100,3,3,2,4,2005,2,141,3,2,8374.69
38,100,5,1,2,5,2005,2,141,2,2,4464.24
39,100,2,1,1,1,2003,3,102,2,1,4808.31
33,99.66,6,1,1,3,2003,3,102,2,1,3288.78
32,100,1,1,2,5,2003,3,102,2,3,3254.72
31,100,7,1,3,7,2003,3,102,2,3,3184.94
50,100,4,1,3,9,2003,3,102,2,1,5907.5
48,91.44,2,1,4,10,2003,3,102,2,1,4389.12
43,100,6,1,4,11,2003,3,102,2,2,5036.16
25,87.33,3,1,4,11,2003,3,102,1,1,2183.25
28,100,7,1,4,11,2003,3,102,2,3,3106.88
36,100,2,1,4,12,2003,3,102,2,2,3735.72
27,89.38,10,1,1,1,2004,3,102,1,1,2413.26
25,100,3,1,1,3,2004,3,102,1,2,2953.75
40,100,7,1,2,4,2004,3,102,2,2,4684.8
34,95.55,2,1,2,6,2004,3,102,2,2,3248.7
